111   1
211   4
311   9
411   16
511   25
611   36
711   49
811   64
911   81
1110  100
1111  121
1211  144
1311  169
1411  196
1511  225
1611  256
1711  289
1811  324
1911  361
2011  400
2111  441
2211  484
2311  529
2411  576
2511  625
2611  676
2711  729
2811  784
2911  841
3011  900
3111  961
3211  1024
3311  1089
3411  1156
3511  1225
3611  1296
3711  1369
3811  1444
3911  1521
4011  1600
4111  1681
4211  1764
4311  1849
4411  1936
4511  2025
4611  2116
4711  2209
4811  2304
4911  2401
5011  2500
