
2	613437
3	42326
4	65863
5	71171
6	92403
7	71730
8	82695
9	119433
10	141643
11	128792
12	61951
13	69983
14	64884
15	70961
16	59646
17	59158
18	62511
19	62650
20	77736
21	61043
22	59367
23	63348
24	64885
25	67259
26	71520
27	85349
28	83533
28	78923
30	87933
31	96804
32	122506
33	81508
34	80949
35	80111
36	85210
37	83533
38	84022
39	102671
40	100435
41	98340
42	54617
43	40230
44	40021
45	41068
46	42744
47	44071
48	44420
49	44281
50	47774
51	47563
52	50846
53	49450
54	47424
55	55945
56	55176
56	53640
57	55037
59	56923
60	49938
61	48820
62	49240
63	51475
64	51615
65	54269
66	65723
67	45608
68	75012
69	35829
70	36598
71	37506
72	39531
73	51126
74	41837
75	38764
76	37715
77	41906
78	40440
79	43583
80	41487
81	44421
82	43373
83	45329
84	44211
85	47354
86	46237
87	46725
88	49659
89	51755
90	77596
91	53850
92	67189
93	51544
94	54269
95	53360
96	55735
97	53640
98	56643
99	54408
100	57202
