
1	3423
1	2794
2	2444
3	2305
4	2794
5	2444
6	2374
7	2864
8	2864
9	2793
10	2934
11	2444
12	2933
13	2863
14	2794
15	2864
16	3283
17	2934
18	3772
19	3422
20	3352
21	3353
22	3423
23	3772
24	3771
25	3771
26	3772
27	4330
28	3841
28	4330
30	3841
31	4260
32	4260
33	4749
34	4749
35	4819
36	5308
37	4749
38	5308
39	5099
40	4750
41	6496
42	6216
43	6775
44	6775
45	6705
46	6705
47	6705
48	6774
49	7124
50	6774
51	6216
52	6286
53	6076
54	4750
55	5239
56	5657
56	4400
57	5657
59	6147
60	5728
61	5658
62	5308
63	5727
64	5727
65	5727
66	5657
67	5797
68	5727
69	5797
70	5168
71	6216
72	5657
73	6216
74	5727
75	6566
76	6286
77	6565
78	6146
79	6146
80	5657
81	6286
82	5168
83	6286
84	8940
85	8661
86	9149
87	9359
88	10057
89	9359
90	9569
91	9079
92	9918
93	9498
94	10057
95	10477
96	10058
97	9987
98	10337
99	9569
